"INDEX_NR","OPID","OPERATOR","ATYPE","AMA","AMO","EMA","EMO","AC_CLASS","AC_MASS","NUM_ENGS","TYPE_ENG","ENG_1_POS","ENG_2_POS","ENG_3_POS","ENG_4_POS","REG","FLT","REMAINS_COLLECTED","REMAINS_SENT","INCIDENT_DATE","INCIDENT_MONTH","INCIDENT_YEAR","TIME_OF_DAY","TIME","AIRPORT_ID","AIRPORT","STATE","FAAREGION","ENROUTE","RUNWAY","LOCATION","HEIGHT","SPEED","DISTANCE","PHASE_OF_FLT","DAMAGE","STR_RAD","DAM_RAD","STR_WINDSHLD","DAM_WINDSHLD","STR_NOSE","DAM_NOSE","STR_ENG1","DAM_ENG1","STR_ENG2","DAM_ENG2","STR_ENG3","DAM_ENG3","STR_ENG4","DAM_ENG4","INGESTED","STR_PROP","DAM_PROP","STR_WING_ROT","DAM_WING_ROT","STR_FUSE","DAM_FUSE","STR_LG","DAM_LG","STR_TAIL","DAM_TAIL","STR_LGHTS","DAM_LGHTS","STR_OTHER","DAM_OTHER","OTHER_SPECIFY","EFFECT","EFFECT_OTHER","SKY","PRECIP","SPECIES_ID","SPECIES","BIRDS_SEEN","BIRDS_STRUCK","SIZE","WARNED","COMMENTS","REMARKS","AOS","COST_REPAIRS","COST_OTHER","COST_REPAIRS_INFL_ADJ","COST_OTHER_INFL_ADJ","REPORTED_NAME","REPORTED_TITLE","REPORTED_DATE","SOURCE","PERSON","NR_INJURIES","NR_FATALITIES","LUPDATE","TRANSFER","INDICATED_DAMAGE"
13925,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,,,0,0,"12/22/09, 12:00:00 AM",12,2009,"Night",2024,"KMCO","ORLANDO INTL","FL","ASO",,,,,,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium",,,"Medium",,"SOURCE = BASH NR xxxxxx",,,,0,,0,"Deleted","Deleted",,"BASH",,,,"5/28/10, 12:00:00 AM",0,0
12970,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,,,0,0,"12/12/08, 12:00:00 AM",12,2008,"Night",2000,"KVPS","EGLIN AIR FORCE BASE/DESTIN-FORT WALTON BEACH AIRPORT","FL","ASO",,,,,99,,"Landing","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,"1F11","Coyote",,,"Large",,"SOURCE = BASH NR xxxxxx",,,,0,,0,"Deleted","Deleted",,"BASH",,,,"10/21/09, 12:00:00 AM",0,0
4875,"MIL","MILITARY","T-1A","748",,"31","01","A","3","2","D","5","5",,,"93-0643",,1,1,"8/14/01, 12:00:00 AM",8,2001,"Dusk",1900,"KFOE","FORBES FIELD AIRPORT","KS","ACE",,"31",,0,100,0,"Take-off run","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Engine Shut Down",,"No Clouds","None","YI009","Cliff swallow","1","1","Small",,"SOURCE = BASH NR xxxxx",,0,,,,,"Deleted","Deleted","9/13/01, 12:56:25 PM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
4880,"MIL","MILITARY","T-38A",,,,,"A",,,,,,,,"66-8352",,0,0,"7/6/00, 12:00:00 AM",7,2000,"DAY",1030,"KSPS","SHEPPARD AFB/WICHITA FALLS MUNI ARPT","TX","ASW",,"15R",,0,145,0,"Take-off run","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"No Cloud","None","UNKBM","Unknown bird - medium","2-10","1","Medium","Y","SOURCE = BASH NR xxxxx",,0,,,,,"Deleted","Deleted","8/16/00, 8:59:50 AM","BASH","Other",,,"10/21/09, 12:00:00 AM",0,0
3687,"MIL","MILITARY","KC-135R","148",,,,"A",,,,,,,,,,0,0,"8/23/95, 12:00:00 AM",8,1995,"Day",1050,"KPSM","PORTSMOUTH INTL ARPT AT PEASE","NH","ANE",,,,200,150,,"Approach","N",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium","1","1","Medium",,"SOURCE = BASH NR xxxxx","REMARKS -  ;  AIRCRAFT -  KC - 135 - R;  IMPACT -  RADOME;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,"Deleted","Deleted","5/19/00, 12:00:00 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
3814,"MIL","MILITARY","F-16D","561",,,,"A",,,,,,,,"87-0373",,1,1,"5/8/03, 12:00:00 AM",5,2003,"Day",1115,"KSGH","SPRINGFIELD-BECKLEY MUNICIPAL ARPT","OH","AGL",,,,,,0,"Take-off run","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"None",,"Overcast","None","N5111","Killdeer",,"1","Small",,"SOURCE = BASH NR xxxxx","Remains found on runway and left main gear well.",,,,,,"Deleted","Deleted","5/8/03, 2:23:56 PM","BASH","Other",,,"10/21/09, 12:00:00 AM",0,0
4154,"MIL","MILITARY","OC-135B",,,,,"A",,,,,,,,"2672",,0,0,"12/15/99, 12:00:00 AM",12,1999,"Night",2046,"KLNK","LINCOLN ARPT","NE","ACE",,,,3000,200,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,"UNKBM","Unknown bird - medium",,"2-10","Medium",,"SOURCE = BASH NR xxxxx","Unidentified",0,,,,,"Deleted","Deleted","2/19/02, 2:53:16 PM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
4155,"MIL","MILITARY","UNKNOWN",,,,,,,,,,,,,"VV8E098",,0,0,"12/15/99, 12:00:00 AM",12,1999,"Night",2000,"KMOB","MOBILE REGIONAL","AL","ASO",,,,50,,,,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,"No Clouds","None","UNKBM","Unknown bird - medium",,,"Medium",,"SOURCE = BASH NR xxxxx","Report received from USDA. -Not many fields were filled in on the form.",,,,,,"Deleted","Deleted","11/30/00, 1:06:15 PM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
3387,"MIL","MILITARY","C-37A","421",,,,"A","4","2","D","5","5",,,"01-0029",,0,0,"12/6/01, 12:00:00 AM",12,2001,"Day",1145,"KRSW","SOUTHWEST FLORIDA INTL ARPT","FL","ASO",,,,100,125,,"Approach","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,"None",,"No Clouds","None","UNKBS","Unknown bird - small","2-10","2-10","Small",,"SOURCE = BASH NR xxxxx","MULTIPLE STRIKES (2)  NO DAMAGE",0,,,,,"Deleted","Deleted","12/26/01, 9:46:05 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
3388,"MIL","MILITARY","T-1A","748",,"31","01","A","3","2","D","5","5",,,"95-0070",,1,1,"12/14/01, 12:00:00 AM",12,2001,"Day",1040,"KOKC","WILL ROGERS WORLD ARPT","OK","ASW",,"17R",,0,120,0,"Take-off run","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"None",,"No Clouds","None","ZT001","Eastern meadowlark","2-10","1","Small",,"SOURCE = BASH NR xxxxx","NO REMAINS",0,,,,,"Deleted","Deleted","1/16/02, 10:49:53 AM","BASH",,,,"10/21/09, 12:00:00 AM",0,0
