Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
080206ZK12,08/02/2006,DANISH AMERICAN BEACH CLUB,Right,4.0,MPN/100 ml
062910KB15,06/29/2010,MORRIS YACHT AND BEACH CLUB,Right,,Result below detection limit
082112GR05,08/21/2012,MANHATTAN BEACH,Center,4.0,MPN/100 ml
060914GR15,06/09/2014,SEAGATE BEACH - 38TH STREET,Center,,Result below detection limit
042913KB15,04/29/2013,SI YMCA OF GREATER NEW YORK,Right,,Result below detection limit
072108GR18,07/21/2008,GERRITSEN/KIDDIE BEACH,Center,,Result below detection limit
050707BH09,05/07/2007,MIDLAND BEACH,Right,,Result below detection limit
060914GR06,06/09/2014,MANHATTAN BEACH,Right,8.0,MPN/100 ml
061906IM01,06/19/2006,MORRIS YACHT AND BEACH CLUB,Left,12.0,MPN/100 ml
060606IM12,06/06/2006,WHITE CROSS FISHING CLUB,Right,64.0,MPN/100 ml
081913GR07,08/19/2013,KINGSBOROUGH COMMUNITY COLLEGE,Left,24.0,MPN/100 ml
061809GR04,06/18/2009,SEAGATE BEACH - 38TH STREET,Left,4.0,MPN/100 ml
072413GR16,07/24/2013,WHITE CROSS FISHING CLUB,Center,28.0,MPN/100 ml
062414SG04,06/24/2014,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,8.0,MPN/100 ml
052609KB12,05/26/2009,ORCHARD BEACH,Right,16.0,MPN/100 ml
052112GR04,05/21/2012,WHITE CROSS FISHING CLUB,Left,160.0,MPN/100 ml
082911GR11,08/29/2011,BREEZY POINT - REID AVE.,Right,8.0,MPN/100 ml
061112GR15,06/11/2012,MANHEM BEACH CLUB,Right,64.0,MPN/100 ml
070506JR04,07/05/2006,MANHATTAN BEACH,Left,4.0,MPN/100 ml
083109KB04,08/31/2009,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,32.0,MPN/100 ml
071408GR04,07/14/2008,MANHATTAN BEACH,Left,4.0,MPN/100 ml
082807GR15,08/28/2007,SEAGATE BEACH - 42ND STREET,Center,4.0,MPN/100 ml
050211SG15,05/02/2011,SI YMCA OF GREATER NEW YORK,Left,,Result below detection limit
071806ZK12,07/18/2006,WHITE CROSS FISHING CLUB,Right,,Result below detection limit
070611KB12,07/06/2011,MORRIS YACHT AND BEACH CLUB,Right,8.0,MPN/100 ml
072213CP04,07/22/2013,MANHATTAN BEACH,Left,12.0,MPN/100 ml
080106NG04,08/01/2006,ROCKAWAY BEACH 23RD - 59TH,Right,,Result below detection limit
052410GR03,05/24/2010,GERRITSEN/KIDDIE BEACH,Right,32.0,MPN/100 ml
072010GR12,07/20/2010,DANISH AMERICAN BEACH CLUB,Right,,Result below detection limit
080510KB01,08/05/2010,ORCHARD BEACH,Left,4.0,MPN/100 ml
072109KB05,07/21/2009,WOLFE'S POND PARK,Center,56.0,MPN/100 ml
042710KB08,04/27/2010,MORRIS YACHT AND BEACH CLUB,Center,24.0,MPN/100 ml
081213CP07,08/12/2013,WOLFE'S POND PARK,Center,,Result below detection limit
053111KB15,05/31/2011,SOUTH BEACH,Right,,Result below detection limit
082906KB10,08/29/2006,BREEZY POINT - 219TH STREET,Center,32.0,MPN/100 ml
062006BH04,06/20/2006,WOLFE'S POND PARK,Right,,Result below detection limit
092215CP01,09/22/2015,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,4.0,MPN/100 ml
061405MG17,06/14/2005,AMERICAN TURNERS,Center,,Result below detection limit
050707GR19,05/07/2007,SEAGATE BEACH - 42ND STREET,Right,8.0,MPN/100 ml
073112GR08,07/31/2012,AMERICAN TURNERS,Center,28.0,MPN/100 ml
042810GR03,04/28/2010,ROCKAWAY BEACH 126TH - 149TH,Center,4.0,MPN/100 ml
071006ZK09,07/10/2006,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,,Result below detection limit
050216JL21,05/03/2016,DANISH AMERICAN BEACH CLUB,Right,880.0,MPN/100 ml
081715SG01,08/17/2015,CONEY ISLAND WEST 16TH - WEST 27TH,Left,12.0,MPN/100 ml
081710GR02,08/17/2010,GERRITSEN/KIDDIE BEACH,Center,520.0,MPN/100 ml
082712GR11,08/27/2012,AMERICAN TURNERS,Center,4.0,MPN/100 ml
070813GR19,07/08/2013,LOCUST POINT YACHT CLUB,Left,,Result below detection limit
052212GR03,05/22/2012,GERRITSEN/KIDDIE BEACH,Right,640.0,MPN/100 ml
071513CP02,07/15/2013,SI YMCA OF GREATER NEW YORK,Center,980.0,MPN/100 ml
072605LH14,07/26/2005,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Center,48.0,MPN/100 ml
070814CP10,07/08/2014,DANISH AMERICAN BEACH CLUB,Left,36.0,MPN/100 ml
071106JR02,07/11/2006,MANHATTAN BEACH,Center,60.0,MPN/100 ml
070605MR02,07/06/2005,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,12.0,MPN/100 ml
081610SG12,08/16/2010,WEST FORDHAM STREET ASSOCIATION,Right,,Result below detection limit
081814GR11,08/18/2014,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,,Result below detection limit
061609KB09,06/16/2009,MIDLAND BEACH,Right,,Result below detection limit
070506ZK07,07/05/2006,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,60.0,MPN/100 ml
042710GR12,04/27/2010,DANISH AMERICAN BEACH CLUB,Right,250.0,MPN/100 ml
080111GR17,08/01/2011,SEAGATE BEACH - 42ND STREET,Left,4.0,MPN/100 ml
060607IM24,06/06/2007,SCHUYLER HILL CIVIC ASSOCIATION,Right,8.0,MPN/100 ml
072913GR08,07/29/2013,KINGSBOROUGH COMMUNITY COLLEGE,Center,4.0,MPN/100 ml
071905MR14,07/19/2005,ORCHARD BEACH,Center,,Result below detection limit
050107IM26,05/01/2007,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,28.0,MPN/100 ml
052212GR17,05/22/2012,SEAGATE BEACH - 42ND STREET,Left,36.0,MPN/100 ml
050913GR05,05/09/2013,BREEZY POINT - 219TH STREET,Center,4.0,MPN/100 ml
082713GR18,08/27/2013,SCHUYLER HILL CIVIC ASSOCIATION,Right,24.0,MPN/100 ml
082806BH01,08/28/2006,SI YMCA OF GREATER NEW YORK,Left,16.0,MPN/100 ml
062414SG12,06/24/2014,WEST FORDHAM STREET ASSOCIATION,Right,4.0,MPN/100 ml
051314CP17,05/13/2014,SCHUYLER HILL CIVIC ASSOCIATION,Center,8.0,MPN/100 ml
092214CP01,09/22/2014,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,20.0,MPN/100 ml
071006ZK13,07/10/2006,WHITE CROSS FISHING CLUB,Left,,Result below detection limit
062507GR12,06/25/2007,DANISH AMERICAN BEACH CLUB,Right,4.0,MPN/100 ml
061410GR16,06/14/2010,SEAGATE BEACH - 38TH STREET,Right,12.0,MPN/100 ml
080310GR14,08/03/2010,MANHEM BEACH CLUB,Center,,Result below detection limit
060710GR18,06/07/2010,SEAGATE BEACH - 42ND STREET,Center,,Result below detection limit
062612GR19,06/26/2012,SEAGATE BEACH - 42ND STREET,Right,32.0,MPN/100 ml
070615GR19,07/06/2015,SEAGATE BEACH - 38TH STREET,Right,,Result below detection limit
072115GR07,07/21/2015,AMERICAN TURNERS,Left,4.0,MPN/100 ml
090611KB04,09/06/2011,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,76.0,MPN/100 ml
080112GR11,08/01/2012,ROCKAWAY BEACH 59TH - 80TH,Center,,Result below detection limit
080112GR07,08/01/2012,ROCKAWAY BEACH 126TH - 149TH,Center,,Result below detection limit
052815CP01,05/28/2015,ROCKAWAY BEACH 9TH - 13TH,Center,,Result below detection limit
060607IM12,06/06/2007,WHITE CROSS FISHING CLUB,Right,4.0,MPN/100 ml
080210GR10,08/02/2010,CONEY ISLAND BR. 15TH - 6TH,Center,,Result below detection limit
051606BH11,05/16/2006,SOUTH BEACH,Center,84.0,MPN/100 ml
060208BH09,06/02/2008,MIDLAND BEACH,Right,4.0,MPN/100 ml
061906IM22,06/19/2006,SCHUYLER HILL CIVIC ASSOCIATION,Left,4.0,MPN/100 ml
053012GR13,05/30/2012,MANHEM BEACH CLUB,Left,24.0,MPN/100 ml
050509KB10,05/05/2009,ORCHARD BEACH,Left,240.0,MPN/100 ml
081908BH02,08/19/2008,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,12.0,MPN/100 ml
070714CP05,07/07/2014,SI YMCA OF GREATER NEW YORK,Right,16.0,MPN/100 ml
053006IM21,05/30/2006,MANHEM BEACH CLUB,Right,116.0,MPN/100 ml
062910GR17,06/29/2010,SCHUYLER HILL CIVIC ASSOCIATION,Center,4.0,MPN/100 ml
052610GR07,05/26/2010,ROCKAWAY BEACH 59TH - 80TH,Center,,Result below detection limit
083106GR03,08/31/2006,GERRITSEN/KIDDIE BEACH,Right,28.0,MPN/100 ml
092313CP04,09/23/2013,MORRIS YACHT AND BEACH CLUB,Left,,Result below detection limit
090109GR07,09/01/2009,KINGSBOROUGH COMMUNITY COLLEGE,Left,,Result below detection limit
042817CP07,04/28/2014,AMERICAN TURNERS,Left,8.0,MPN/100 ml
072705MR06,07/27/2005,KINGSBOROUGH COMMUNITY COLLEGE,Right,12.0,MPN/100 ml
082409SG06,08/24/2009,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,120.0,MPN/100 ml
072914KB10,07/29/2014,WEST FORDHAM STREET ASSOCIATION,Left,4.0,MPN/100 ml
061305EL09,06/13/2005,KINGSBOROUGH COMMUNITY COLLEGE,Right,44.0,MPN/100 ml
062810KB01,06/28/2010,SI YMCA OF GREATER NEW YORK,Left,4.0,MPN/100 ml
050108BH03,05/01/2008,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,4.0,MPN/100 ml
060506GR08,06/05/2006,CONEY ISLAND BR. 6TH - OCEAN PKWY,Center,,Result below detection limit
042214KB04,04/22/2014,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,,Result below detection limit
080706JR09,08/07/2006,MORRIS YACHT AND BEACH CLUB,Right,12.0,MPN/100 ml
080310KB06,08/03/2010,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Right,4.0,MPN/100 ml
090407GR09,09/04/2007,KINGSBOROUGH COMMUNITY COLLEGE,Right,8.0,MPN/100 ml
060513GR13,06/05/2013,MANHEM BEACH CLUB,Left,100.0,MPN/100 ml
050712GR01,05/07/2012,GERRITSEN/KIDDIE BEACH,Left,36.0,MPN/100 ml
072710KB11,07/27/2010,WEST FORDHAM STREET ASSOCIATION,Center,20.0,MPN/100 ml
052411SG16,05/24/2011,SCHUYLER HILL CIVIC ASSOCIATION,Left,,Result below detection limit
050107IM10,05/01/2007,WHITE CROSS FISHING CLUB,Left,12.0,MPN/100 ml
061014CP02,06/10/2014,ROCKAWAY BEACH 15TH - 22TH,Center,,Result below detection limit
081412GR14,08/14/2012,MANHEM BEACH CLUB,Center,4.0,MPN/100 ml
090909IM17,09/09/2009,SCHUYLER HILL CIVIC ASSOCIATION,Center,,Result below detection limit
082813GR06,08/28/2013,KINGSBOROUGH COMMUNITY COLLEGE,Right,16.0,MPN/100 ml
050415CP16,05/04/2015,SOUTH BEACH,Center,4.0,MPN/100 ml
070506ZK24,07/05/2006,SCHUYLER HILL CIVIC ASSOCIATION,Right,12.0,MPN/100 ml
090115SM04,09/01/2015,WHITE CROSS FISHING CLUB,Left,16.0,MPN/100 ml
072109KB01,07/21/2009,SI YMCA OF GREATER NEW YORK,Left,,Result below detection limit
082207NR01,08/22/2007,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Left,560.0,MPN/100 ml
090507BH21,09/05/2007,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,,Result below detection limit
070213CP04,07/02/2013,ROCKAWAY BEACH 59TH - 80TH,Center,8.0,MPN/100 ml
083115SM08,08/31/2015,MANHATTAN BEACH,Center,8.0,MPN/100 ml
071706JR08,07/17/2006,SEAGATE BEACH - 38TH STREET,Center,4.0,MPN/100 ml
080415GR11,08/04/2015,DANISH AMERICAN BEACH CLUB,Center,20.0,MPN/100 ml
061907BH19,06/19/2007,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,,Result below detection limit
061212GR14,06/12/2012,SEAGATE BEACH - 38TH STREET,Left,,Result below detection limit
072011KB17,07/20/2011,CONEY ISLAND WEST 28TH - WEST 37TH,Center,4.0,MPN/100 ml
061013GR11,06/10/2013,MANHATTAN BEACH,Left,,Result below detection limit
051412GR08,05/14/2012,AMERICAN TURNERS,Center,,Result below detection limit
070708BH09,07/07/2008,MIDLAND BEACH,Right,,Result below detection limit
051413KB05,05/14/2013,WHITESTONE BOOSTER CIVIC  ASSOCIATION,Center,20.0,MPN/100 ml
