"Date","Cannabis","Average Cannabis","Cumulative Cannabis","Ecstasy","Average Ecstasy","Cumulative Ecstasy","Stimulants","Average Stimulants","Cumulative Stimulants","Misc","Average Misc","Cumulative Misc","Psychedelics","Average Psychedelics","Cumulative Psychedelics","Benzos","Average Benzos","Cumulative Benzos","Opioids","Average Opioids","Cumulative Opioids","Dissociatives","Average Dissociatives","Cumulative Dissociatives","Digital Goods","Average Digital Goods","Cumulative Digital Goods","Prescription","Average Prescription","Cumulative Prescription","Other","Average Other","Cumulative Other"
"2013-11-06","0.0","1090.52","0.0","0.0","2783.57","0.0","0.0","577.38","0.0","0.0","34.27","0.0","0.0","653.34","0.0","0.0","137.47","0.0","0.0","240.87","0.0","0.0","220.91","0.0","0.0","389.58","0.0","0.0","74.3","0.0","0.0","64.96","0.0"
"2013-11-13","0.0","5097.97","0.0","0.0","6629.21","0.0","0.0","3620.95","0.0","0.0","224.68","0.0","0.0","1901.92","0.0","0.0","729.15","0.0","0.0","1267.18","0.0","0.0","733.18","0.0","0.0","1033.43","0.0","0.0","375.74","0.0","0.0","273.03","0.0"
"2013-11-20","0.0","10424.03","0.0","0.0","12311.03","0.0","0.0","8728.2","0.0","0.0","469.45","0.0","0.0","3925.25","0.0","0.0","2066.55","0.0","0.0","2912.1","0.0","0.0","1379.83","0.0","0.0","1492.33","0.0","0.0","834.38","0.0","0.0","571.65","0.0"
"2013-11-27","7633.67","20223.82","53435.67","19485.01","20075.13","136395.07","4041.65","16299.46","28291.55","239.91","887.63","1679.39","4573.4","6633.01","32013.77","962.29","3987.61","6736.05","1686.07","5210.13","11802.49","1546.4","2407.92","10824.83","2727.03","2216.33","19089.19","520.1","1617.74","3640.68","454.7","1211.4","3182.92"
"2013-12-04","28052.1","25431.95","249800.37","26919.45","24463.82","324831.24","21304.97","19882.87","177426.35","1332.88","1266.06","11009.53","8740.05","7648.58","93194.09","4141.75","4578.88","35728.34","7184.17","6046.89","62091.66","3585.88","2754.03","35926.0","4506.99","2538.35","50638.11","2110.06","1884.38","18411.08","1456.54","1539.35","13378.67"
"2013-12-11","37282.46","35701.68","510777.61","39772.77","33228.07","603240.65","35750.77","26723.45","427681.74","1713.34","2087.4","23002.94","14163.32","10215.12","192337.34","9361.83","5959.33","101261.12","11514.44","8340.35","142692.73","4526.53","3730.24","67611.68","3212.26","3541.68","73123.94","3210.48","2538.03","40884.46","2090.29","2157.38","28010.71"
"2013-12-18","68598.54","48411.88","990967.39","54348.67","40760.76","983681.37","52998.81","35453.98","798673.39","2927.28","2487.98","43493.88","18954.29","13250.57","325017.34","13447.37","7861.37","195392.69","16086.24","11349.37","255296.38","7196.65","4895.91","117988.22","5068.01","4930.48","108600.03","5483.53","3277.86","79269.15","4478.3","2913.24","59358.84"
"2013-12-25","36456.87","63648.55","1246165.44","30720.82","47230.89","1198727.08","25083.88","46292.77","974260.56","2649.01","3117.07","62036.93","7108.98","17161.79","374780.23","4138.89","10015.03","224364.88","5857.3","15207.22","296297.45","2422.75","5957.74","134947.49","2254.18","6431.97","124379.27","1866.5","4338.6","92334.64","2295.6","3919.45","75428.03"
"2014-01-01","71888.1","76372.18","1749382.16","61349.74","53733.0","1628175.23","47884.09","54405.73","1309449.2","5749.36","3383.87","102282.44","17965.84","20225.89","500541.12","9663.18","11966.17","292007.16","16054.26","16980.33","408677.27","6833.45","6666.24","182781.66","7023.28","7041.26","173542.26","4575.56","4833.79","124363.54","4326.2","4493.27","105711.47"
"2014-01-08","88971.45","88053.43","2372182.29","52728.87","59446.5","1997277.29","61113.66","60982.43","1737244.81","2804.05","3781.01","121910.83","21248.14","23193.64","649278.12","13314.28","13627.58","385207.13","21063.1","20098.2","556119.0","8159.71","7257.98","239899.61","9721.59","8347.83","241593.41","5178.77","5204.2","160614.95","5291.05","4963.09","142748.85"
"2014-01-15","114290.34","95081.85","3172214.7","64775.88","64246.94","2450708.47","79913.21","65103.91","2296637.27","4643.58","3714.6","154415.92","31951.88","24787.98","872941.25","16037.89","15014.4","497472.32","28691.07","21877.93","756956.5","8979.21","7353.22","302754.07","13237.48","9074.44","334255.74","7945.28","5096.8","216231.93","7498.13","5239.86","195235.76"
"2014-01-22","117117.5","98802.55","3992037.19","72434.22","66389.66","2957748.03","78095.67","68082.25","2843306.95","3200.48","3553.57","176819.31","30188.76","25660.94","1084262.58","17799.73","16097.65","622070.46","19595.89","23599.04","894127.77","8545.36","7405.41","362571.56","8772.03","9736.66","395659.96","5576.38","5869.86","255266.61","5473.32","5370.24","233548.98"
"2014-01-29","119051.22","94608.79","4825395.74","79767.29","64586.75","3516119.08","81787.72","67090.89","3415820.97","4493.29","2910.45","208272.3","34937.56","25069.44","1328825.54","20991.75","15543.61","769012.72","33339.53","22628.83","1127504.51","8668.75","6709.76","423252.81","12358.23","9119.87","482167.54","5803.39","5427.92","295890.35","5379.03","5120.53","271202.17"
"2014-02-05","117797.51","88944.86","5649978.28","87951.77","67734.6","4131781.44","81849.17","66441.68","3988765.14","2462.42","2659.57","225509.23","30114.72","24471.66","1539628.56","23155.08","14951.81","931098.31","28544.37","21181.61","1327315.12","7863.33","6545.47","478296.1","10154.29","8216.44","553247.56","4731.69","5301.11","329012.2","6415.67","4844.76","316111.87"
"2014-02-12","62501.75","80691.76","6087490.51","45719.89","71029.16","4451820.65","45932.25","66323.68","4310290.88","1521.79","2288.66","236161.76","13219.68","22672.36","1632166.3","11721.62","14655.87","1013149.66","17905.06","19331.03","1452650.54","2788.04","6024.37","497812.35","6889.72","7854.9","601475.6","7277.95","4710.31","379957.87","3208.28","4379.16","338569.85"
"2014-02-19","42531.74","72162.37","6385212.68","48729.34","71252.84","4792926.0","40944.56","69148.75","4596902.78","1247.53","2082.18","244894.5","13825.37","21369.35","1728943.91","5784.92","14408.75","1053644.1","9262.78","19076.59","1517490.0","1963.91","7209.09","511559.73","2705.73","8241.6","620415.68","1481.94","4506.25","390331.47","2578.22","4170.82","356617.38"
"2014-02-26","49323.96","64698.43","6730480.36","74763.79","71415.44","5316272.53","56569.2","71438.43","4992887.18","1047.89","1816.37","252229.75","17063.65","19250.34","1848389.48","9171.68","13448.56","1117845.89","10932.59","16453.44","1594018.12","7009.67","8558.73","560627.43","3397.62","8516.92","644199.0","4291.16","4291.68","420369.56","3360.66","4033.81","380142.03"
"2014-03-05","56518.66","56294.86","7126110.98","87837.83","69528.13","5931137.33","79087.2","71058.48","5546497.58","2047.21","1913.43","266560.21","19356.76","17820.33","1983886.78","13966.28","12470.29","1215609.84","15736.98","14521.08","1704177.01","5331.51","9498.46","597947.97","10706.67","9131.37","719145.65","3809.67","4228.17","447037.26","4238.93","3759.08","409814.52"
"2014-03-12","57411.78","60102.19","7527993.41","73999.99","75705.12","6449137.23","97871.17","80730.5","6231595.8","1755.15","2171.16","278846.28","21067.69","18642.62","2131360.61","16069.95","12451.49","1328099.45","17814.79","14005.05","1828880.56","16838.42","11496.93","715816.9","11478.92","10851.97","799498.12","4147.97","3694.89","476073.03","4014.95","3971.49","437919.18"
"2014-03-19","66803.6","67725.58","7995618.64","80905.47","84527.8","7015475.55","97815.47","97383.57","6916304.12","2632.57","2429.32","297274.26","20104.5","20055.76","2272092.08","14270.35","14178.28","1427991.93","14977.47","14956.71","1933722.88","18116.23","13199.81","842630.52","14285.49","13485.13","899496.52","4301.38","3970.53","506182.68","4419.98","4396.51","468859.03"
"2014-03-26","58972.52","71238.75","8408426.31","74740.59","85103.83","7538659.65","79189.5","106510.36","7470630.6","3141.83","2627.4","319267.1","20104.64","20715.94","2412824.52","16307.25","15649.27","1542142.71","15017.85","14920.68","2038847.82","14441.42","13670.0","943720.46","14455.42","15506.12","1000684.48","4287.09","4425.65","536192.3","4492.56","4529.69","500306.97"
"2014-04-02","89153.06","71799.24","9032497.76","88958.87","82681.9","8161371.72","113636.37","103199.63","8266085.18","3325.92","2550.04","342548.56","18975.75","21638.91","2545654.77","11590.02","15936.07","1623272.82","14292.88","13996.83","2138898.0","16777.34","13601.14","1061161.85","18933.96","16116.87","1133222.21","3544.99","4481.3","561007.25","4695.11","4633.71","533172.73"
"2014-04-09","95895.44","73432.84","9703765.85","110488.07","84674.28","8934788.22","157516.08","97260.35","9368697.73","3054.64","2594.02","363931.02","23717.34","22441.74","2711676.12","17872.44","16077.76","1748379.89","15924.43","13462.04","2250369.03","13884.07","11865.87","1158350.34","21137.81","17736.16","1281186.9","3411.45","4483.84","584887.41","5553.35","4748.61","572046.16"
"2014-04-16","73916.19","74264.24","10221179.18","78796.01","84900.92","9486360.26","120456.72","91614.04","10211894.77","2434.45","2534.57","380972.16","21684.9","23336.41","2863470.45","19468.63","16001.45","1884660.31","10680.38","13418.56","2325131.66","10300.98","10128.57","1230457.19","17544.53","19350.22","1403998.64","7476.99","5556.63","637226.31","4292.97","5408.0","602096.97"
"2014-04-23","60442.08","77930.26","10644273.74","70884.32","87793.32","9982550.48","55912.13","96609.05","10603279.67","1505.75","2473.54","391512.41","25817.56","24368.8","3044193.36","15973.85","16221.14","1996477.28","9270.02","13020.71","2390021.81","4849.51","9700.45","1264403.79","14981.93","19953.93","1508872.13","4199.21","6541.3","666620.75","4967.05","5780.07","636866.31"
"2014-04-30","68846.99","74456.19","11126202.69","87946.65","86797.92","10598177.05","56296.17","89407.97","10997352.84","2063.0","2202.39","405953.43","26687.48","25576.11","3231005.72","17061.76","17058.77","2115909.61","14071.22","12676.73","2488520.33","4691.52","7866.59","1297244.41","22814.0","19807.59","1668570.11","4165.75","6523.95","695780.97","4819.26","5898.12","670601.1"
"2014-05-07","72623.39","69130.52","11634566.43","82491.92","82374.1","11175620.46","58291.3","75184.6","11405391.92","2216.4","1935.9","421468.2","26367.19","25432.28","3415576.08","13736.21","15708.49","2212063.05","14673.14","12057.18","2591232.28","5955.12","6480.73","1338930.26","25583.86","17860.17","1847657.15","11810.96","6405.14","778457.72","9035.68","5717.06","733850.89"
"2014-05-14","84634.64","67637.09","12227008.9","94987.42","83625.36","11840532.39","114154.58","66588.49","12204473.95","2714.6","1841.9","440470.37","27331.36","25603.89","3606895.6","17845.05","13917.39","2336978.37","12232.89","12056.6","2676862.52","11444.59","5921.4","1419042.37","18681.39","16718.18","1978426.85","11179.78","5751.39","856716.16","7097.05","5723.75","783530.23"
"2014-05-21","64834.63","66544.8","12680851.31","81991.06","83543.24","12414469.8","63228.83","65603.28","12647075.79","1427.93","1873.8","450465.88","27426.97","24238.12","3798884.37","17453.44","12751.12","2459152.48","11885.07","12123.57","2760058.01","3940.34","5930.42","1446624.75","17909.63","15553.95","2103794.25","3423.5","5544.56","880680.68","5521.48","5560.93","822180.58"
"2014-05-28","58615.69","64737.1","13091161.11","79521.36","81925.87","12971119.31","57952.49","66389.29","13052743.22","1189.17","2007.86","458790.06","22710.52","23090.19","3957858.03","8420.47","11640.36","2518095.78","11587.54","11629.11","2841170.77","4183.08","6080.53","1475906.28","7505.85","14484.78","2156335.21","2579.79","5632.65","898739.2","4285.96","5591.82","852182.3"
"2014-06-04","63462.24","61950.26","13535396.76","87554.79","81630.11","13584002.87","60283.91","67387.23","13474730.57","1776.46","2139.03","471225.28","22886.14","21960.05","4118060.98","6930.98","10846.9","2566612.65","10676.32","10839.21","2915904.99","6385.67","6150.31","1520605.96","9550.62","11975.4","2223189.54","2900.75","4619.97","919044.44","4339.75","4958.12","882560.54"
"2014-06-11","52796.03","56127.67","13904968.96","70309.49","78134.01","14076169.32","49015.66","58914.45","13817840.18","1729.03","2250.53","483328.52","16257.21","20687.84","4231861.45","7809.94","9211.66","2621282.24","9738.8","10068.67","2984076.61","4912.63","5491.54","1554994.37","6832.29","10402.71","2271015.58","2751.37","3406.68","938304.05","3827.37","4495.36","909352.1"
"2014-06-18","56193.06","54953.54","14298320.35","76625.08","76769.81","14612544.91","61798.29","59340.61","14250428.22","3001.42","2215.38","504338.48","18651.91","19815.81","4362424.83","9286.42","8026.08","2686287.19","10609.99","9662.33","3058346.51","5742.26","5894.94","1595190.22","15329.84","10588.27","2378324.47","4782.42","3340.17","971780.96","5035.48","4399.02","944600.49"
"2014-06-25","53115.58","54029.74","14670129.39","80421.53","74448.54","15175495.63","65276.86","60619.09","14707366.26","3134.58","2210.55","526280.57","18456.22","19195.61","4491618.38","8181.96","8174.05","2743560.93","9143.88","9221.75","3122353.7","6443.64","6325.31","1640295.68","8018.2","10365.89","2434451.9","4722.21","3374.58","1004836.45","4599.75","4366.81","976798.74"
"2014-07-02","43876.47","52518.09","14977264.7","70514.77","72184.02","15669098.99","54845.14","60749.77","15091282.22","3495.11","2224.9","550746.37","18425.88","19023.19","4620599.53","6398.4","8491.45","2788349.71","6839.1","8918.88","3170227.42","6833.14","6211.04","1688127.64","7672.54","9775.81","2488159.71","2686.72","3417.82","1023643.51","3857.75","4366.48","1003803.03"
"2014-07-09","56615.75","52671.6","15373574.96","72441.67","71740.72","16176190.7","66211.9","62269.49","15554765.53","1181.88","2184.33","559019.55","21322.8","20013.53","4769859.11","9154.4","8260.5","2852430.54","9040.65","8939.94","3233511.97","6764.14","6411.41","1735476.65","19208.52","10000.06","2622619.35","2957.9","3361.81","1044348.79","4847.05","4642.29","1037732.37"
"2014-07-16","52149.04","52581.98","15738618.26","63272.41","70457.02","16619097.57","66901.9","62762.15","16023078.8","1155.33","2092.9","567106.89","18369.12","20878.86","4898442.98","9456.25","7864.78","2918624.32","8503.5","8957.31","3293036.48","7195.68","6402.62","1785846.41","5949.21","9491.14","2664263.85","2820.66","3156.72","1064093.41","4060.49","4677.24","1066155.8"
"2014-07-23","52880.7","52332.26","16108783.18","71703.2","68326.65","17121019.95","61198.62","62096.59","16451469.12","1876.9","1874.11","580245.2","21679.21","21063.71","5050197.49","9152.76","7783.84","2982693.63","8556.26","9393.42","3352930.29","5585.76","6396.47","1824946.75","5420.07","10005.59","2702204.33","3203.47","2845.42","1086517.69","4337.46","4542.15","1096518.0"
"2014-07-30","53870.6","53922.72","16485877.35","67206.41","68481.59","17591464.82","59653.71","62935.72","16869045.05","1445.04","1706.9","590360.5","23189.53","21453.23","5212524.23","6193.28","7878.12","3026046.6","9886.22","10003.87","3422133.81","6315.25","6076.6","1869153.5","8402.04","10375.47","2761018.61","2359.26","2760.89","1103032.54","5758.06","4882.62","1136824.45"
"2014-08-06","55565.72","54119.28","16874837.37","67639.18","68988.99","18064939.06","65246.92","63375.3","17325773.49","2361.42","1937.79","606890.43","24709.25","21470.07","5385488.98","6516.38","7687.14","3071661.23","10731.58","10335.73","3497254.9","5680.74","5914.49","1908918.68","11767.42","9239.61","2843390.57","3346.84","2751.45","1126460.41","5280.14","5249.83","1173785.45"
"2014-08-13","51367.5","54400.73","17234409.9","65508.9","69748.6","18523501.36","60617.96","64114.79","17750099.22","1603.09","2028.44","618112.06","19750.17","21912.33","5523740.18","7615.39","7232.78","3124968.94","12196.59","10675.13","3582631.04","6400.55","5612.63","1953722.56","11619.35","10558.82","2924726.03","2543.09","2823.02","1144262.02","3654.07","5480.3","1199363.94"
"2014-08-20","55009.71","52766.65","17619477.89","71599.39","67174.47","19024697.1","60719.06","63077.68","18175132.66","2324.61","1968.38","634384.34","21152.53","21073.0","5671807.91","7058.41","6793.8","3174377.78","11112.3","10717.45","3660417.16","4594.04","5384.73","1985880.87","10261.71","10993.19","2996557.98","2095.05","2649.02","1158927.36","6241.08","5471.28","1243051.52"
"2014-08-27","57991.67","54668.23","18025419.58","75993.45","68243.76","19556651.28","69288.92","66182.96","18660155.08","2798.15","2193.21","653971.4","21440.64","20701.58","5821892.38","7817.55","6983.75","3229100.61","11363.63","11485.45","3739962.54","5629.43","5256.58","2025286.89","11257.47","12541.3","3075360.25","2891.75","2733.53","1179169.63","7417.53","5581.1","1294974.22"
"2014-09-03","54119.2","55545.68","18404253.99","68589.67","68867.51","20036778.97","72078.37","67168.55","19164703.66","1789.86","2100.54","666500.44","21464.97","19614.19","5972147.14","6275.67","6965.53","3273030.3","10879.35","11665.78","3816118.02","5082.62","5010.12","2060865.24","15183.67","12414.52","3181645.95","3321.65","2612.14","1202421.18","5673.78","5699.44","1334690.67"
"2014-09-10","41442.17","57246.78","18694349.17","53684.3","68669.44","20412569.08","53938.8","68064.29","19542275.23","1456.51","2233.73","676696.02","15803.89","19155.46","6082774.37","6079.94","7039.53","3315589.87","8852.44","11571.57","3878085.11","3990.49","4823.2","2088798.69","8460.7","12087.69","3240870.87","1985.52","2673.33","1216319.83","4274.31","5978.97","1364610.82"
"2014-09-17","67181.66","58413.33","19164620.81","74691.42","67021.72","20935409.0","81390.73","69329.1","20112010.32","3018.81","2184.9","697827.69","20589.62","18309.38","6226901.72","7522.93","7305.59","3368250.39","15262.24","11296.1","3984920.78","5418.18","4791.8","2126725.94","19238.8","12526.13","3375542.5","2950.8","2683.16","1236975.44","6526.77","5856.6","1410298.19"
"2014-09-24","61707.85","58622.37","19596575.74","72005.46","65693.93","21439447.22","72146.03","68678.14","20617032.54","1712.77","1957.3","709817.09","17097.53","17272.56","6346584.41","6388.84","7498.9","3412972.27","11993.89","11234.66","4068878.03","3955.51","4427.92","2154414.52","10879.93","11656.0","3451701.98","2497.15","2647.54","1254455.46","6108.52","5708.69","1453057.85"
"2014-10-01","63275.22","58527.23","20039502.27","64122.4","64259.95","21888304.01","66888.15","68423.91","21085249.56","2535.42","1981.24","727565.04","16539.01","16184.7","6462357.48","8133.38","8152.44","3469905.95","11537.11","11243.39","4149637.81","5092.12","4041.7","2190059.33","9331.57","10132.15","3517022.96","2971.42","2542.41","1275255.38","5610.79","5709.63","1492333.35"
"2014-10-08","63175.54","55529.22","20481731.02","60065.34","59770.85","22308761.41","69572.74","64640.67","21572258.74","1982.8","1821.3","741444.64","15229.97","14838.45","6568967.29","8920.81","7712.1","3532351.6","9184.04","10458.74","4213926.11","4374.23","3560.63","2220678.96","13330.74","9252.59","3610338.11","2163.85","2390.12","1290402.36","5384.51","5352.96","1530024.93"
"2014-10-15","59454.96","45931.84","20897915.74","66698.94","49100.65","22775654.03","64732.17","53013.43","22025383.93","1204.92","1390.04","749879.12","14182.91","11897.07","6668247.65","9170.76","6637.39","3596546.89","10933.53","8278.42","4290460.82","3082.3","2786.61","2242255.05","5166.61","6504.19","3646504.39","2642.38","1968.57","1308898.98","6382.16","4420.57","1574700.02"
"2014-10-22","53453.21","37116.44","21272088.21","58551.77","38814.16","23185516.39","70298.74","42706.85","22517475.07","1957.48","1145.36","763581.45","13849.99","9454.57","6765197.56","10850.4","5724.7","3672499.66","10940.44","6565.0","4367043.92","2379.06","2221.53","2258908.47","4516.71","4949.92","3678121.34","2585.73","1611.84","1326999.1","5680.38","3547.92","1614462.7"
"2014-10-29","20456.13","28077.12","21415281.11","22260.64","29653.81","23341340.86","27456.16","33151.4","22709668.16","336.86","783.15","765939.49","6380.09","7091.85","6809858.22","2997.57","4562.79","3693482.65","3359.89","4916.84","4390563.18","623.03","1494.09","2263269.69","2303.78","3616.83","3694247.83","919.48","1187.35","1333435.49","1777.62","2746.38","1626906.04"
